	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	3	0	0	30
Dict	0	0	0	0	7	18	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	50
Hahn	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	13	0	0	0	3	0	0	54
Liny	0	0	2	0	4	0	2	4	0	7	0	0	0	4	0	9	0	0	0	2	0	0	73
Lyco	0	0	0	1	0	2	0	2	4	0	9	2	2	6	3	8	7	0	0	0	6	2	125
Pisa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
Salt	0	1	0	0	0	0	2	3	0	0	2	5	0	2	0	1	2	1	0	0	0	1	35
Ther	0	0	2	0	2	9	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	35
Thom	0	0	0	0	0	0	6	4	0	0	0	5	0	1	0	0	0	0	0	0	0	2	49
