	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	25
Cori	0	0	0	2	1	0	5	0	0	0	6	0	0	7	0	0	0	7	0	0	0	0	70
Dict	0	0	0	0	4	12	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	50
Gnap	0	0	0	0	0	0	7	0	0	0	1	0	1	2	0	2	0	5	0	1	0	0	38
Hahn	0	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	59
Liny	0	0	9	0	9	0	1	1	0	2	0	0	0	5	0	5	0	0	0	2	0	0	48
Lyco	0	0	0	2	0	1	0	0	4	0	1	4	4	1	1	3	4	0	0	0	1	0	49
Pisa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	1	1	0	29
Salt	0	1	0	0	0	0	6	2	0	0	4	6	0	1	1	1	4	1	0	0	0	1	53
Ther	0	0	0	0	3	7	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	30
Thom	0	0	0	0	0	0	10	6	2	0	0	9	0	10	0	8	0	0	0	2	0	2	71
